Festival,Year,Track,Title,Agency,Brand,Country,Award,Credits
El Ojo de Iberoamerica,2024,Film,La Maquina del Tiempo,Publicis Impetu,Tienda Inglesa Uruguay,Uruguay,PLATA,Prod Olga Lee Realizador-a Oliver Lee Garland Prod Audio Sonido La Mayor Pais Uruguay
El Ojo de Iberoamerica,2024,Film,Lo que necesitamos nuevo,Revuelta - Mono Madrid,Wallapop,Espana,PLATA,Prod Garlic Films Realizador-a OCKHAM Prod Audio Sonido Chaco Music House -La Panaderia Postprod McNulty Pais Espana
El Ojo de Iberoamerica,2024,Film,Ajedrez - Pareja de CHINA parte,LLYC,de Sitges- Festival Internacional,Espana,BRONCE,Prod Lee Films Realizador-a Marc Ortiz Pais Espana
El Ojo de Iberoamerica,2024,Film,Fer-,anonimo,Save the Children Mexico,Mexico,ORO,Prod Catatonia Realizador-a Laura Baumeister Prod Audio Sonido Audios Estudio Shalala -Warner Chappell Music Argentina Postprod Catatonia -Fantastic Post Pais Mexico
El Ojo de Iberoamerica,2024,Film,Generado por la maquina,DAVID Buenos Aires,MACMA,Argentina,BRONCE,Prod Poster Realizador-a Dana Campanello Prod Audio Sonido Papa Music Pais Argentina
El Ojo de Iberoamerica,2024,Film,Huracan,Grey Mexico,Reinserta,Mexico,BRONCE,Prod Oriental Films Realizador-a Garra Prod Audio Sonido Papa Music -Papa Music Postprod Warriors VFX Pais Mexico
El Ojo de Iberoamerica,2024,Film,La espera,1984,Kraft Heinz Chile,Chile,ORO,Prod Fabula Realizador-a Santiago Correa Pais Chile
El Ojo de Iberoamerica,2024,Film,Tulipan Teniendo sexo podemos reactivar la economia,Zurda Agency,Tulipan,Argentina,PLATA,Prod Retina Postprod Retina Pais Argentina
El Ojo de Iberoamerica,2024,Film,Gatorade vs agua,Springtime,Gatorade,Brasil,BRONCE,Prod Primo Realizador-a Nicolas Perez Veiga Prod Audio Sonido Porta Estudio Pais Brasil
El Ojo de Iberoamerica,2024,Film,The power of a fragrance,LOLA MullenLowe,Axe-Lynx,Espana,ORO,Prod Czarbe Otro Realizador-a Lionel Goldstein Prod Audio Sonido Senstudio Otro Postprod Czarbe Otro Pais Espana
El Ojo de Iberoamerica,2024,Film,Find Your Summer,LOLA MullenLowe,Magnum Ice Cream,Espana,PLATA,Prod MJZ Realizador-a Juan Cabral Prod Audio Sonido Big Sync Postprod Glassworks Otras Empresas Mindshare Otro Pais Espana
El Ojo de Iberoamerica,2024,Film,Tulipan Teniendo sexo podemos reactivar la economia,Zurda Agency,Tulipan,Argentina,PLATA,Prod Retina Postprod Retina Pais Argentina
El Ojo de Iberoamerica,2024,Film,Pasado perfecto,Mercado McCann,Schneider,Argentina,BRONCE,Prod Poster Realizador-a Sebastian Caporelli Prod Audio Sonido Porta Estudio Postprod Poster -Poster Otras Empresas Pimba VFX Pais Argentina
El Ojo de Iberoamerica,2024,Film,Explore Uranus,Officer Gentleman,Easytoys,Espana,BRONCE,Prod Jakiens Postprod La Cueva Pais Espana
El Ojo de Iberoamerica,2024,Film,Fer,anonimo,de Save the Children Mexico,Mexico,PLATA,Prod Catatonia Realizador-a Laura Baumeister Prod Audio Sonido Audios Estudio Shalala -Warner Chappell Music Argentina Postprod Catatonia -Fantastic Post Pais Mexico
El Ojo de Iberoamerica,2024,Film,The Autograph,LOLA MullenLowe,Persil,Espana,BRONCE,Prod Rebolucion Realizador-a Vellas Prod Audio Sonido Big Sync Music Postprod Rebolucion Pais Espana
El Ojo de Iberoamerica,2024,Film,NotCow,The Juju One Single Office ARG MEX,NotCo Latam,Argentina,BRONCE,Prod Malasana - Estudio Lanza Realizador-a Jorge Malpica- Andres Gatti- Javier Reboursin Prod Audio Sonido Perro Lobo -Perro Lobo Postprod Estudio Lanza Pais Argentina
El Ojo de Iberoamerica,2024,Film,Tulipan Teniendo sexo podemos reactivar la economia,Zurda Agency,Tulipan,Argentina,ORO,Prod Retina Postprod Retina Otras Empresas Pais Argentina
El Ojo de Iberoamerica,2024,Film,La primera ultima cita,MullenLowe SSP3 Mexico,Centro Mexicano Alzhaimer,Mexico,BRONCE,Prod Rebolucion Realizador-a Chelo De Los Santos- Boki Gonzalez Pais Mexico
El Ojo de Iberoamerica,2024,Film,The last barf bag,FCB Chicago,Dramamine,Estados Unidos,ORO,Prod Rakish Realizador-a Sunny Sixteen Prod Audio Sonido JSM Music Postprod 456 Studios Otras Empresas 360PR -The Shipyard -Extra Packaging -SPCFuel Pais Estados Unidos
El Ojo de Iberoamerica,2024,Film,Hotel La Argentina,Mercado McCann,TyC Sports,Argentina,ORO,Prod Virgen Films Realizador-a Martin de Escalada Prod Audio Sonido Virgen Films Postprod Virgen Films -Virgen Films Otras Empresas Supercharango Pais Argentina
El Ojo de Iberoamerica,2024,Film,This is not a game,VML Mexico,Movistar Mexico,Mexico,PLATA,Prod Landia Realizador-a Lucas Shannon Prod Audio Sonido BDS Postprod Landia Pais Mexico
El Ojo de Iberoamerica,2024,Film,La historia no contada de los ninos que dan voz a una generacion-,Casanova McCann - McCann Detroit,US Bank,Estados Unidos,BRONCE,Prod 9A Films Realizador-a Rudy Valdez Prod Audio Sonido DeAndre James Otras Empresas Weber Shandwick Estados Unidos Pais Estados Unidos
El Ojo de Iberoamerica,2024,Film,This is not a game-,VML Mexico,Movistar Mexico,Mexico,ORO,Prod Landia Realizador-a Lucas Shannon Prod Audio Sonido BDS Postprod Landia Pais Mexico
El Ojo de Iberoamerica,2024,Film,La Cura,Africa Creative,Editora Taverna,Brasil,BRONCE,Editora Taverna Prod Santeria Realizador-a Rafa Damy- Nicoly Cruvinel Prod Audio Sonido Cabaret Postprod 3t Pais Brasil
El Ojo de Iberoamerica,2024,Film,Late-,Alma DDB,Memorial Sloan Kettering Cancer Center,Estados Unidos,BRONCE,Prod Central Films Realizador-a Rodrigo Garcia Sainz Pais Estados Unidos
El Ojo de Iberoamerica,2024,Film,Tulipan Teniendo sexo podemos reactivar la economia,Zurda Agency,Tulipan,Argentina,ORO,Prod Retina Postprod Retina Pais Argentina
El Ojo de Iberoamerica,2024,Film,Tormenta,Almap BBDO,O Boticario,Brasil,BRONCE,Prod MyMama Entertainment Realizador-a Kid Burro Prod Audio Sonido Satelite Audio Postprod Nash Pais Brasil
El Ojo de Iberoamerica,2024,Film,Tulipan Teniendo sexo podemos reactivar la economia,Zurda Agency,Tulipan,Argentina,ORO,Prod Retina Postprod Retina Pais Argentina
El Ojo de Iberoamerica,2024,Film,Fer,anonimo,Save the Children Mexico,Mexico,PLATA,Prod Catatonia Realizador-a Laura Baumeister Prod Audio Sonido Audios Estudio Shalala -Warner Chappell Music Argentina Postprod Catatonia -Fantastic Post Pais Mexico
El Ojo de Iberoamerica,2024,Film,Ultimo Viaje,Grey Mexico,Articulo 19,Mexico,PLATA,Prod Oriental Films Realizador-a Yupi Segura- Marindia Prod Audio Sonido Paola Decanini -Azotea Post Postprod Carlos Cepeda Pais Mexico
El Ojo de Iberoamerica,2024,Film,El Veredicto,Kids,DACSA,Espana,BRONCE,Prod Jakiens Realizador-a Marco Huertas Pais Espana
El Ojo de Iberoamerica,2024,Film,13 Cielos Hero,WiedenKennedy Mexico,Victoria,Mexico,BRONCE,Prod The Maestros Realizador-a Giuliana Tommasi- Rodrigo Valdes Prod Audio Sonido Yamil Misael Gomez -Javier Umpierrez Postprod The Maestros -Mathematic Studio -Club Color -Diego Flores Pais Mexico
El Ojo de Iberoamerica,2024,Grafica,Find Your Summer,LOLA MullenLowe,Magnum Ice Cream,Espana,EL GRAN OJO GRAFICA,Prod MJZ Realizador Juan Cabral Prod AudioSonido Big Sync Post Prod Glassworks Otras Empresas Mindshare Pais Espana
El Ojo de Iberoamerica,2024,Grafica,Find Your Summer,LOLA MullenLowe,Magnum Ice Cream,Espana,ORO,Prod MJZ Realizador Juan Cabral Prod AudioSonido Big Sync Post Prod Glassworks Otras Empresas Mindshare Pais Espana
El Ojo de Iberoamerica,2024,Grafica,Thanks for Coke-Creating,VML Mexico - VML Brasil,Coca-Cola,Mexico,ORO,Prod Mango Films - Sugarcane Filmes - Baliprod - Glitch Productions - NetoShookan Productions Realizador Erik Tapia Otras Empresas Raw Audio -VML Brasil -Sugarcane Filmes -Ogilvy -EssenceMediacom Pais Mexico
El Ojo de Iberoamerica,2024,Grafica,Patrocinio sudado,Isla,Gatorade,Colombia,PLATA,Prod Aleta Media Realizador Matias Ferrari Pais Colombia
El Ojo de Iberoamerica,2024,Grafica,Lanches RL Thanks for Coke-Creating,VML Mexico - VML Brasil,Coca-Cola,Mexico,BRONCE,Prod Mango Films - Sugarcane Filmes - Baliprod - Glitch Productions - NetoShookan Productions Realizador Erik Tapia Otras Empresas Raw Audio -Ogilvy -EssenceMediacom Pais Mexico
El Ojo de Iberoamerica,2024,Grafica,Bombon y Confeti Thanks for Coke-Creating,VML Mexico - VML Brasil,Coca-Cola,Mexico,BRONCE,Prod Mango Films - Sugarcane Filmes - Baliprod - Glitch Productions - NetoShookan Productions Realizador Erik Tapia Otras Empresas Raw Audio -Ogilvy -EssenceMediacom Pais Mexico
El Ojo de Iberoamerica,2024,Grafica,Braided history,DDB Latina Puerto Rico,Mizani,Puerto Rico,PLATA,Prod DDB Latina Puerto Rico Pais Puerto Rico
El Ojo de Iberoamerica,2024,Grafica,Guess Who Won,LOLA MullenLowe,Persil,Espana,PLATA,Otras Empresas Mindshare Pais Espana
El Ojo de Iberoamerica,2024,Grafica,Made from recycled materials,BBDO Chile - BBDO Ecuador,Volkswagen,Ecuador,PLATA,Prod Wolf Credo Realizador Ale Burset Prod AudioSonido Post Prod Longest Line Pais Ecuador
El Ojo de Iberoamerica,2024,Grafica,El peligro creciente,Anita y Vega,Volvo,Argentina,BRONCE,Prod Mama Hungara Realizador Martin Sigal Pais Argentina
El Ojo de Iberoamerica,2024,Grafica,Voice actors,Propeg,de ACBEU,Brasil,PLATA,Prod Activity Pais Brasil
El Ojo de Iberoamerica,2024,Grafica,Invitados Inesperados,TBWAPeru,BCP,Peru,PLATA,Prod Naca Producciones Pais Peru
El Ojo de Iberoamerica,2024,Grafica,Main character,BBDO Chile,de Claro,Chile,BRONCE,Prod Custom Image Pais Chile
El Ojo de Iberoamerica,2024,Grafica,Mind changing prices,Fahrenheit DDB,Plaza Vea,Peru,PLATA,Prod Senor Z Pais Peru
El Ojo de Iberoamerica,2024,Grafica,Hearink Stories,Ogilvy Guatemala Guatemala,Penguin Random House Audiobooks,Guatemala,PLATA,Prod ZITIO Guatemala Realizador Ernesto Abrego Prod AudioSonido Felipe Santana Guatemala-Grupo Rec Latam Guatemala Post Prod ZITIO Guatemala Pais Guatemala
El Ojo de Iberoamerica,2024,Grafica,Bk open laters,Garabato MullenLowe,Burger King Paraguay,Paraguay,BRONCE,Prod Garabato MullenLowe Realizador LA FILIAL Pais Paraguay
El Ojo de Iberoamerica,2024,Grafica,Las 2 Caras,BBDO Mexico,Alexia Ortiz,Mexico,PLATA,Prod Rebolucion Realizador Monster Duo Prod AudioSonido Machete Musica Pais Mexico
El Ojo de Iberoamerica,2024,Grafica,Paramount NS NOW,Publicis Impetu,de Nuevo Siglo,Uruguay,BRONCE,
El Ojo de Iberoamerica,2024,Grafica,Wrong Candidates,Alma DDB,de Change the Ref,Estados Unidos,ORO,
El Ojo de Iberoamerica,2024,Grafica,Second,Republica Havas,de Asociacion Lucha contra el Mal,Argentina,ORO,Realizador Lucila Blumencweig Post Prod Diego Chilliano Pais Argentina
El Ojo de Iberoamerica,2024,Grafica,Generado por la maquina,DAVID Buenos Aires,de MACMA,Argentina,PLATA,Prod Poster Realizador Dana Campanello Prod AudioSonido Papa Music Pais Argentina
El Ojo de Iberoamerica,2024,Grafica,25,Havas Peru - Republica Havas,Amnistia Internacional Peru,Peru,BRONCE,
El Ojo de Iberoamerica,2024,Grafica,Trip my Pic,DDB Espana,de Halcon Viajes,Espana,ORO,Prod Crowddigital Pais Espana
El Ojo de Iberoamerica,2024,Grafica,Reprinting Nica,Havas Costa Rica - BETC HAVAS,La Prensa Nicaragua,Nicaragua,PLATA,Prod Fulfierros Prod AudioSonido Punch Audio Pais Nicaragua
El Ojo de Iberoamerica,2024,Grafica,Over 30,Lew LaraTBWA,de Billboard Brasil,Brasil,PLATA,Prod Santeria Otras Empresas Mynd8 Pais Brasil
El Ojo de Iberoamerica,2024,Grafica,Spotibye,Amen McCann,Oceano FM,Uruguay,BRONCE,Prod Eadweard Realizador Andrea Amato Pais Uruguay
El Ojo de Iberoamerica,2024,Grafica,iBlor,Republica Havas,Asociacion Lucha contra el Mal,Argentina,BRONCE,Prod Virgen Films - Twins Music Realizador Hernan Jauregui- Jeronimo Gonzalez Montalvo- Tom Huergo- Max Scott Prod AudioSonido Twins Music Post Prod Pablo Cantorati -Roy Bermudez -Santiago Burgos -Cecilia Cesari Santiento Pais Argentina
El Ojo de Iberoamerica,2024,Grafica,Braided history,DDB Latina Puerto Rico,Mizani,Puerto Rico,PLATA,Prod DDB Latina Puerto Rico Pais Puerto Rico
El Ojo de Iberoamerica,2024,Grafica,Over 30,Lew LaraTBWA,de Billboard Brasil,Brasil,PLATA,Prod Santeria Otras Empresas Mynd8 Pais Brasil
El Ojo de Iberoamerica,2024,Grafica,Drawn To Equality,Dentsu Creative Iberia,de VISA Portugal,Portugal,BRONCE,
El Ojo de Iberoamerica,2024,Grafica,VW X4,Ogilvy Bolivia,Volkswagen,Bolivia,BRONCE,
El Ojo de Iberoamerica,2024,Grafica,Sun Stats,Punto 99,KFC Ecuador,Ecuador,BRONCE,Prod Ricardo Salamanca Pais Ecuador
El Ojo de Iberoamerica,2024,Grafica,Wrong Candidates,Alma DDB,Change the Ref,Estados Unidos,ORO,
El Ojo de Iberoamerica,2024,Grafica,Wrong Candidates,Alma DDB,Change the Ref,Estados Unidos,PLATA,
El Ojo de Iberoamerica,2024,Grafica,Braided history,DDB Latina Puerto Rico,Mizani,Puerto Rico,PLATA,Prod DDB Latina Puerto Rico Pais Puerto Rico
El Ojo de Iberoamerica,2024,Grafica,Bk open laters,Garabato MullenLowe,Burger King Paraguay,Paraguay,BRONCE,Prod Garabato MullenLowe Realizador LA FILIAL Pais Paraguay
El Ojo de Iberoamerica,2024,Grafica,Reprinting Nica,Havas Costa Rica - BETC HAVAS,de La Prensa Nicaragua,Nicaragua,BRONCE,Prod Fulfierros Prod AudioSonido Punch Audio Pais Nicaragua
El Ojo de Iberoamerica,2024,Grafica,Find Your Summer,LOLA MullenLowe,Magnum Ice Cream,Espana,El GRAN OJO PRODUCCION GRAFICA,Prod MJZ Realizador Juan Cabral Prod AudioSonido Big Sync Post Prod Glassworks Otras Empresas Mindshare Pais Espana
El Ojo de Iberoamerica,2024,Grafica,Medalla Drinkers Know,DDB Latina Puerto Rico,Medalla Light,Puerto Rico,PLATA,Prod DDB Latina Puerto Rico Realizador Peter Peralta- Luis Romero Pais Puerto Rico
El Ojo de Iberoamerica,2024,Grafica,Braided history,DDB Latina Puerto Rico,Mizani,Puerto Rico,PLATA,Prod DDB Latina Puerto Rico Pais Puerto Rico
El Ojo de Iberoamerica,2024,Grafica,The Billboard you shouldn t be able to read but you can,McCann San Jose,Gollo Motors,Costa Rica,BRONCE,Prod Fulfierros Realizador Huelander Escalante Pais Costa Rica
El Ojo de Iberoamerica,2024,Grafica,Ano de Campagnola,Vendaval - di Paola Latina Argentina,LA CAMPAGNOLA,Argentina,BRONCE,Prod Huinca Cine Realizador Hernan Bargman- Alan Badan Prod AudioSonido Cinestesia -Supercharango Post Prod Cristian Martino -Control Z -Roy Bermudez Pais Argentina
El Ojo de Iberoamerica,2024,Grafica,Luces negras,Almap BBDO,Bradesco Seguros - Empregue Afro - GOMA - Museu Afro-UFBA,Brasil,ORO,Prod Almap BBDO Prod AudioSonido Raw Audio Post Prod Otras Empresas Dialeto Studio Pais Brasil
El Ojo de Iberoamerica,2024,Grafica,Las 2 Caras,BBDO Mexico,de Alexia Ortiz,Mexico,ORO,Prod Rebolucion Realizador Monster Duo Prod AudioSonido Machete Musica Pais Mexico
El Ojo de Iberoamerica,2024,Grafica,Braided history,DDB Latina Puerto Rico,Mizani,Puerto Rico,PLATA,Prod DDB Latina Puerto Rico Pais Puerto Rico
El Ojo de Iberoamerica,2024,Grafica,Hearink Stories,Ogilvy Guatemala Guatemala,Penguin Random House Audiobooks,Guatemala,PLATA,Prod ZITIO Guatemala Realizador Ernesto Abrego Prod AudioSonido Felipe Santana Guatemala-Grupo Rec Latam Guatemala Post Prod ZITIO Guatemala Pais Guatemala
El Ojo de Iberoamerica,2024,Grafica,Second,Republica Havas,de Asociacion Lucha contra el Mal,Argentina,PLATA,Realizador Lucila Blumencweig Prod AudioSonido Post Prod Diego Chilliano Pais Argentina
El Ojo de Iberoamerica,2024,Grafica,La infancia siempre pierde la guerra,Groenlandia by Havas,de Unicef Chile,Chile,BRONCE,Prod Semilla Estudio Pais Chile
El Ojo de Iberoamerica,2024,Grafica,Disastrous washes,McCann Ecuador,Ciclon,Ecuador,BRONCE,Prod Alicia Studio - Grabbit Films Realizador Diego Aguilar Post Prod Grabbit Films -Alicia Studio Pais Ecuador
El Ojo de Iberoamerica,2024,Grafica,Find Your Summer,LOLA MullenLowe,Magnum Ice Cream,Espana,ORO,Prod MJZ Realizador Juan Cabral Prod AudioSonido Big Sync Post Prod Glassworks Otras Empresas Mindshare Pais Espana
El Ojo de Iberoamerica,2024,Grafica,Second,Republica Havas,de Asociacion Lucha contra el Mal,Argentina,PLATA,Realizador Lucila Blumencweig Prod AudioSonido Post Prod Diego Chilliano Pais Argentina
El Ojo de Iberoamerica,2024,Grafica,Families,Grey Mexico,de Save the Children Mexico,Mexico,BRONCE,Prod Whisky Films Realizador RAM Martinez Pais Mexico
El Ojo de Iberoamerica,2024,Grafica,Disastrous washes,McCann Ecuador,Ciclon,Ecuador,BRONCE,Prod Alicia Studio - Grabbit Films Realizador Diego Aguilar Post Prod Grabbit Films -Alicia Studio Pais Ecuador
El Ojo de Iberoamerica,2024,Grafica,Saber ver lo que otros no ven,McCann Worldgroup Espana,de Bestinver,Espana,BRONCE,Prod Landia - CRAFT Realizador HADI Prod AudioSonido CRAFT Post Prod CRAFT -CRAFT Pais Espana
El Ojo de Iberoamerica,2024,Grafica,Inolvidables,Darwin Verne,de Paradores,Espana,PLATA,Prod Visual Noise Realizador Visual Noise Prod Pais Espana
El Ojo de Iberoamerica,2024,Grafica,Amor en Amorfinos,Paradais DDB,Xtrim,Ecuador,BRONCE,
El Ojo de Iberoamerica,2024,Radio Audio,UninterruptAds,Africa Creative,Cerveza Budweiser,Brasil,EL GRAN OJO RADIO AUDIO,Prod Modo Integrado - La Carretera Films Prod AudioSonido Mugshot Otras Empresas Sante Music Agency Pais Brasil
El Ojo de Iberoamerica,2024,Radio Audio,Canciones no originales,From,de Hyundai Uruguay,Uruguay,PLATA,Prod AudioSonido Absolut Pais Uruguay
El Ojo de Iberoamerica,2024,Radio Audio,El desafio del locutor,TombrasNina,Parque,Argentina,BRONCE,
El Ojo de Iberoamerica,2024,Radio Audio,Don t Mess with a Princess,Africa Creative,Vivo,Brasil,BRONCE,Realizador Rodrigo Ferrari Prod AudioSonido Canja Otras Empresas WebCore -WOW Gaming Ventures - Pixel Hunters Fortnite - Rogue Unit Roblox Pais Brasil
El Ojo de Iberoamerica,2024,Radio Audio,Menciones por error,From,Hisense,Uruguay,BRONCE,
El Ojo de Iberoamerica,2024,Radio Audio,Grandes lectores,Dentsu Creative Iberia,Feria del Libro,Espana,PLATA,Prod AudioSonido Jaracanda Pais Espana
El Ojo de Iberoamerica,2024,Radio Audio,Sing the news,BeautifulBeast,Fundacion Cardiologica Argentina,Argentina,BRONCE,Prod Papa Music - Fabrica de Canciones Realizador Damian Minckas Prod AudioSonido Deaf Mule -Fabrica de Canciones Pais Argentina
El Ojo de Iberoamerica,2024,Radio Audio,UninterruptAds,Africa Creative,Budweiser,Brasil,ORO,Prod Modo Integrado - La Carretera Films Prod AudioSonido Mugshot Otras Empresas Sante Music Agency Pais Brasil
El Ojo de Iberoamerica,2024,Radio Audio,Rock DNA,Almap BBDO,Billboard Brasil,Brasil,ORO,Prod Acaca Prod AudioSonido Punch Audio Otras Empresas Giusti Creative PR -Mynd Pais Brasil
El Ojo de Iberoamerica,2024,Radio Audio,Call If you can,Paradais DDB,Paradox,Ecuador,ORO,
El Ojo de Iberoamerica,2024,Radio Audio,855-How-To-Quit,Serviceplan Alemania - Tulom PR,Anzen Health,Estados Unidos,PLATA,Prod JOJX Realizador Oliver Wurffell Prod AudioSonido DaHouse -DaHouse Post Prod Arcade Edit Otras Empresas Tulom PR -Raw Materials -Mediaplus Group Pais Estados Unidos
El Ojo de Iberoamerica,2024,Radio Audio,Cambia el numero,anonimo,de Opinion 51,Mexico,BRONCE,Prod Malasana Realizador Alejandro Barbabosa Prod AudioSonido Silence Track Post Prod Homemade -Urbano Pais Mexico
El Ojo de Iberoamerica,2024,Radio Audio,Lo Fried Beats,Punto 99,de KFC Ecuador,Ecuador,BRONCE,Prod Joel Cristopher Realizador Joel Cristopher Pais Ecuador
El Ojo de Iberoamerica,2024,Radio Audio,Sharenting- el musical,VML Argentina,de Movistar Argentina,Argentina,ORO,Prod Oruga Cine Prod AudioSonido Bamba Music Pais Argentina
El Ojo de Iberoamerica,2024,Radio Audio,Canciones no originales,From,de Hyundai Uruguay,Uruguay,PLATA,Prod AudioSonido Absolut Pais Uruguay
El Ojo de Iberoamerica,2024,Radio Audio,Bailes para bailar,VML Uruguay,de Danubio Futbol Club,Uruguay,PLATA,Prod Cholo Films Pais Uruguay
El Ojo de Iberoamerica,2024,Radio Audio,Menciones por error,From,Hisense,Uruguay,BRONCE,
El Ojo de Iberoamerica,2024,Radio Audio,Voces sin voz,Notable,Ernex,Uruguay,BRONCE,Prod La Mayor Realizador Federico Moreira Prod AudioSonido La Mayor Pais Uruguay
El Ojo de Iberoamerica,2024,Via Publica,Thanks for Coke-Creating,VML Mexico - VML Brasil,Coca-Cola Mexico - Coca-Cola Brasil,Mexico,GRAN OJO VIA PUBLICA,Prod Mango Films -Sugarcane Filmes - Baliprod Otro- Glitch Productions Otro- NetoShookan Productions Otro Realizador-a Erik Tapia Otras Empresas Raw Audio -Sugarcane Filmes -Ogilvy Otro-EssenceMediacom Pais Mexico
El Ojo de Iberoamerica,2024,Via Publica,Find Your Summer,LOLA MullenLowe,Magnum Ice Cream,Espana,ORO,Prod MJZ Realizador-a Juan Cabral Prod Audio Sonido Big Sync Postprod Glassworks Otras Empresas Mindshare Otro Pais Espana
El Ojo de Iberoamerica,2024,Via Publica,Thanks for Coke-Creating,VML Mexico - VML Brasil,Coca-Cola Mexico - Coca-Cola Brasil,Mexico,ORO,Prod Mango Films -Sugarcane Filmes - Baliprod Otro- Glitch Productions Otro- NetoShookan Productions Otro Realizador-a Erik Tapia Otras Empresas Raw Audio -Sugarcane Filmes -Ogilvy Otro-EssenceMediacom Pais Mexico
El Ojo de Iberoamerica,2024,Via Publica,La espera,1984,Kraft Heinz Chile,Chile,BRONCE,Prod Fabula Realizador-a Santiago Correa Pais Chile
El Ojo de Iberoamerica,2024,Via Publica,Medalla Drinkers Know,DDB Latina Puerto Rico,Medalla Light,Puerto Rico,BRONCE,Prod DDB Latina Puerto Rico Realizador-a Peter Peralta- Luis Romero Pais Puerto Rico
El Ojo de Iberoamerica,2024,Via Publica,Bombon y Confeti Thanks for Coke-Creating,VML Mexico - VML Brasil,Coca-Cola,Mexico,BRONCE,Prod Mango Films - Sugarcane Filmes Realizador-a Erik Tapia Otras Empresas Raw Audio -Ogilvy Otro-EssenceMediacom Pais Mexico
El Ojo de Iberoamerica,2024,Via Publica,Brahma Phone,Africa Creative,Brahma,Brasil,PLATA,Prod Kaus Film Realizador-a Los Pibes Prod Audio Sonido Satelite Audio Postprod Guava Post Otras Empresas Monkey Producoes -Thinkers Studios -DraftLine Integrada -TKCV -Oba Print -Dona Antonia Pais Brasil
El Ojo de Iberoamerica,2024,Via Publica,Guess Who Won,LOLA MullenLowe,Persil,Espana,PLATA,Otras Empresas Mindshare Otro Pais Espana
El Ojo de Iberoamerica,2024,Via Publica,The Billboard you shouldn t be able to read but you can,McCann San Jose,Gollo Motors,Costa Rica,BRONCE,Prod Fulfierros Realizador-a Huelander Escalante Pais Costa Rica
El Ojo de Iberoamerica,2024,Via Publica,Faces of the future,VML Argentina,Rexona,Argentina,BRONCE,Prod Audio Sonido Swing Musica Pais Argentina
El Ojo de Iberoamerica,2024,Via Publica,El atraco del crucero,404 Sao Paulo -GALERIAag,Netflix Brasil,Brasil,PLATA,Prod Platinum - CEGO Otras Empresas MediaMonkes Pais Brasil
El Ojo de Iberoamerica,2024,Via Publica,Mind changing prices,Fahrenheit DDB,Plaza Vea,Peru,PLATA,Prod Senor Z Pais Peru
El Ojo de Iberoamerica,2024,Via Publica,Atacama Fashion Week,Artplan,Desierto Vestido,Brasil,ORO,Prod Sugarcane Filmes Realizador-a Igor Selingarde Prod Audio Sonido Raw Audio Pais Brasil
El Ojo de Iberoamerica,2024,Via Publica,Second,Republica Havas,Asociacion Lucha contra el Mal,Argentina,ORO,Realizador-a Lucila Blumencweig Postprod Diego Chilliano Pais Argentina
El Ojo de Iberoamerica,2024,Via Publica,Wrong Candidates,Alma DDB,Change the Ref,Estados Unidos,BRONCE,
